Site,Average_Kelp_Coverage,Longitude,Latitude
Actaeon Island.Bruny Island.TAS.18,0.6,146.9961,-43.5252
Alum Cliffs.Derwent.TAS.46,47.5,147.3419,-42.9666
Aniversary Point. 10m.North West.TAS.9,14.0,145.5405,-40.8901
Anniversary Point.North West.TAS.9,0.8,145.5364,-40.8905
Arch Island.Ninepin External.TAS.6,14.5,147.1817,-43.2853
Arch Rock.Ninepin External.TAS.6,45.6,147.1792,-43.2877
Badger Head.Northern.TAS.22,5.0,146.642,-41.0989
Badger Island West.Flinders .TAS.21,5.7,147.8383,-40.3005
Badger Island.Flinders .TAS.21,0.0,147.8947,-40.2968
Barrel Rock.Northern.TAS.22,0.9,146.7905,-41.0655
Beach Reef.Northern.TAS.22,0.0,146.8414,-41.0343
Betsy Island North West.Tinderbox External.TAS.4,6.9,147.4714,-43.0449
Big Caroline Rock.Port Davey.TAS.16,1.8,145.917,-43.3634
Binalong Bay.North East.TAS.19,27.5,148.3161,-41.2464
Blackmans Bay Blowhole.Derwent.TAS.46,47.6,147.3297,-42.9984
Blackmans Bay South.Tinderbox External.TAS.4,52.6,147.3311,-43.0118
Blow Hole. Bicheno.Bicheno External.TAS.13,19.080000000000002,148.3098,-41.8801
Bluff Hill Point.Northern West .TAS.23,18.2,144.6108,-41.0059
Boat Harbour.North West.TAS.9,24.7,145.6194,-40.9245
Boulder Beach.Tasman Peninsular.TAS.17,0.0,147.9484,-43.0024
Breaksea Island South.Port Davey.TAS.16,28.45,145.9667,-43.3336
Breakwater.Central West.TAS.24,30.5,145.2002,-42.1995
Brier Holme Bay.South West.TAS.20,3.1,145.7134,-43.1135
Bryans.Schouten Island.TAS.14,23.9,148.273,-42.2571
Bull Bay South.Bruny Island.TAS.18,46.6,147.3718,-43.0883
Bunker Bay (Tas).Maria External.TAS.0,24.8,148.1364,-42.6635
Butler's Point. 10m.Bicheno External.TAS.13,1.0,148.3085,-41.9652
Butts Reef .Ninepin External.TAS.6,55.4,147.1269,-43.2757
Cape Barren Light. 10m.Flinders .TAS.21,0.0,148.458,-40.4413
Cape Barren South. 5m.Flinders .TAS.21,0.0,148.458,-40.4128
Cape Bougainville.Maria Island Vincinity.TAS.2,9.3,148.0032,-42.5066
Cape Forestier. 10m.Bicheno External.TAS.13,56.7,148.3456,-42.1827
Cape Lodi.Bicheno External.TAS.13,16.7,148.3183,-41.9264
Cape Portland.North Coast.TAS.7,0.0,147.9383,-40.7625
Cape Queen Elizabeth.Bruny Island.TAS.18,17.3,147.4254,-43.2535
Cape Sorrel End.Central West.TAS.24,18.2,145.1669,-42.1953
Cape Sorrel Light.Central West.TAS.24,22.7,145.1696,-42.1964
Cape Sorrell Halfway.Central West.TAS.24,45.6,145.1848,-42.1954
Cape Surville South Bay.Tasman Peninsular.TAS.17,43.6,147.9942,-42.9581
Central Tinderbox.Tinderbox Reserve.TAS.3,12.763636363636362,147.3325,-43.0591
Central. Ninepin.Ninepin Internal.TAS.5,19.5,147.1674,-43.2845
Charlotte Cove Light.Ninepin External.TAS.6,10.440000000000001,147.1434,-43.2729
Clyde Island.Tasman Peninsular.TAS.17,54.8,147.94,-43.0104
Crayfish Point.Derwent.TAS.46,38.0,147.356,-42.9521
Darlington North.Maria Island Reserve.TAS.1,42.53076923076923,148.0621,-42.5766
De Witt Island.South West.TAS.20,47.9,146.3774,-43.5915
Deep Glen Bay.Tasman Peninsular.TAS.17,47.2,147.9884,-42.9705
Dennes Point.Tinderbox External.TAS.4,47.98787909090909,147.3571,-43.0627
Eddystone Point North.North East.TAS.19,1.7,148.3477,-40.9891
Eddystone Point South.North East.TAS.19,16.2,148.3461,-40.9945
Elephant Rock. 10m.North East.TAS.19,55.7,148.341,-41.2519
Elephant Rock. 5m.North East.TAS.19,47.0,148.3397,-41.2513
Fisheries.Schouten Island.TAS.14,2.9,148.2907,-42.1419
Five Mile Bluff.Northern.TAS.22,0.0,146.8759,-41.0183
Fleurieu Point.Schouten Island.TAS.14,0.6,148.2619,-42.1683
Fortescue Bay.Tasman Peninsular.TAS.17,32.05,147.9606,-43.1306
Fossil Cliffs (East).Maria External.TAS.0,46.4,148.1076,-42.5832
